ID,Region,TimePeriod,Role,Object,Process,Metric,Measurement,Measurement,,
1,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodRoundwood,SoftwoodRoundwoodDelivery,Mass,4163735172,9075000,8915921.139,8915921139
2,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodRoundwood,HardwoodRoundwoodDelivery,Mass,544383388,804629.6296,1165703.186,1165703186
3,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,SawmillsSoftwood,Mass,2499260690,5447222.222,5351735.953,5351735953
4,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,SawmillsHardwood,Mass,83944043.72,62037.03704,179751.6996,179751699.6
5,UnitedKingdom,YearOf2019,ProcessOutput,SoftwoodSawnwood,SawmillsSoftwood,Mass,1423518296,3614600,3048219.049,3048219049
6,UnitedKingdom,YearOf2019,ProcessOutput,HardwoodSawnwood,SawmillsHardwood,Mass,29927025.7,49820,64083.56681,64083566.81
7,UnitedKingdom,YearOf2019,Export,SoftwoodRoundwood,,Mass,75294306.62,164106.4583,161229.7786,161229778.6
8,UnitedKingdom,YearOf2019,Export,HardwoodRoundwood,,Mass,2780983.477,4110.451852,5954.996739,5954996.739
9,UnitedKingdom,YearOf2019,Import,SoftwoodRoundwood,,Mass,291353508.7,635014.712,623883.3163,623883316.3
10,UnitedKingdom,YearOf2019,Import,HardwoodRoundwood,,Mass,47190779.83,69750.65833,101050.9204,101050920.4
11,UnitedKingdom,YearOf2019,Import,SoftwoodSawnwood,,Mass,2687151692,6823220,5754072.146,5754072146
12,UnitedKingdom,YearOf2019,Import,HardwoodSawnwood,,Mass,383957372.3,639180,822178.5274,822178527.4
13,UnitedKingdom,YearOf2019,Export,SoftwoodSawnwood,,Mass,80568630.82,204580,172523.8347,172523834.7
14,UnitedKingdom,YearOf2019,Export,HardwoodSawnwood,,Mass,14008395.01,23320,29996.56319,29996563.19
15,UnitedKingdom,YearOf2019,SoldProduction,Fibreboard,,Mass,462991500,1389350,991416.4882,991416488.2
16,UnitedKingdom,YearOf2019,SoldProduction,Particleboard,,Mass,919756800,3942100,1969500.642,1969500642
17,UnitedKingdom,YearOf2019,Import,Furniture,,Mass,1206681004,,2583899.366,2583899366
18,UnitedKingdom,YearOf2019,Export,Fibreboard,,Mass,42470000,114700,90942.18415,90942184.15
19,UnitedKingdom,YearOf2019,Export,Particleboard,,Mass,149760000,369720,320685.2248,320685224.8
20,UnitedKingdom,YearOf2019,Import,Fibreboard,,Mass,612390000,1653900,1311327.623,1311327623
21,UnitedKingdom,YearOf2019,Import,Particleboard,,Mass,815360000,2012920,1745952.891,1745952891
22,UnitedKingdom,YearOf2019,Export,VeneerSheets,,Mass,853000,2000,1826.552463,1826552.463
23,UnitedKingdom,YearOf2019,Import,VeneerSheets,,Mass,22604500,53000,48403.64026,48403640.26
24,UnitedKingdom,YearOf2019,Export,Plywood,,Mass,47300000,84280,101284.7966,101284796.6
25,UnitedKingdom,YearOf2019,Import,Plywood,,Mass,799150000,1423940,1711241.97,1711241970
26,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,RoundwoodToFencingAndOutdoorManufacturing,Mass,112579310.3,245370.3704,241069.1869,241069186.9
27,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,OtherEnergyFeedstocksSoftwoodRoundwood,Mass,249798620.7,544444.4444,534900.6867,534900686.7
28,UnitedKingdom,YearOf2019,ProcessInput,HardwoodRoundwood,OtherEnergyFeedstocksHardwoodRoundwood,Mass,438513661.2,648148.1481,939001.4158,939001415.8
29,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,WBPFibresSoftwoodRoundwood,Mass,560347586.2,1221296.296,1199887.765,1199887765
30,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,WBPFibresByProducts,Mass,623646896.6,1359259.259,1335432.327,1335432327
31,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibre,WBPFibresRecycledWoodFibre,Mass,418030344.8,911111.1111,895139.9246,895139924.6
32,UnitedKingdom,YearOf2019,Import,GraphicPapers,,Mass,2580685714,7476820,5526093.606,5526093606
33,UnitedKingdom,YearOf2019,Import,SanitaryPapers,,Mass,321942857.1,1345900,689385.133,689385133
34,UnitedKingdom,YearOf2019,Import,Packaging,,Mass,2300914286,8455860,4927011.319,4927011319
35,UnitedKingdom,YearOf2019,Import,OtherPaperProducts,,Mass,132685714.3,425700,284123.5852,284123585.2
36,UnitedKingdom,YearOf2019,Export,GraphicPapers,,Mass,362057142.9,1048960,775282.9612,775282961.2
37,UnitedKingdom,YearOf2019,Export,SanitaryPapers,,Mass,7200000,30100,15417.55889,15417558.89
38,UnitedKingdom,YearOf2019,Export,Packaging,,Mass,345600000,1270080,740042.8266,740042826.6
39,UnitedKingdom,YearOf2019,Import,Pulp,,Mass,922628571.4,3318900,1975650.046,1975650046
40,UnitedKingdom,YearOf2019,Export,Pulp,,Mass,9257142.857,33300,19822.57571,19822575.71
41,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,SawnwoodToFencingAndOutdoorManufacturing,Mass,526701769.5,1337402,1127841.048,1127841048
42,UnitedKingdom,YearOf2019,SoldProduction,GraphicPapers,,Mass,944228571.4,2735640,2021902.722,2021902722
43,UnitedKingdom,YearOf2019,SoldProduction,SanitaryPapers,,Mass,783771428.6,3276600,1678311.41,1678311410
44,UnitedKingdom,YearOf2019,SoldProduction,Packaging,,Mass,1937828571,7121520,4149525.848,4149525848
45,UnitedKingdom,YearOf2019,SoldProduction,OtherPaperProducts,,Mass,295200000,947100,632119.9143,632119914.3
46,UnitedKingdom,YearOf2019,Import,WoodPellets,,Mass,8878000000,19975500,19010706.64,19010706640
47,UnitedKingdom,YearOf2019,SoldProduction,WoodPellets,,Mass,855319562.8,670500,1831519.406,1831519406
48,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,PulpmillsByProducts,Mass,28569320.39,56481.48148,61176.27493,61176274.93
49,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,OtherEnergyFeedstocksByProducts,Mass,588300000,3300310,1259743.041,1259743041
50,UnitedKingdom,YearOf2019,ProcessInput,ByProducts,WoodPelletsManufacturingByProducts,Mass,263000000,563169.1649,563169.1649,563169164.9
51,UnitedKingdom,YearOf2019,ProcessInput,PostConsumerWood,WoodPelletsManufacturingPostConsumerWood,Mass,400000000,0,856531.0493,856531049.3
52,UnitedKingdom,YearOf2019,ProcessInput,RecycledPaper,PulpmillsRecycledPaper,Mass,3188571429,11470000,6827776.079,6827776079
53,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,NewPulpMaking,Mass,197120000,429629.6296,422098.5011,422098501.1
54,UnitedKingdom,YearOf2019,Import,RecycledPaper,,Mass,85371428.57,307100,182808.1982,182808198.2
55,UnitedKingdom,YearOf2019,Export,RecycledPaper,,Mass,4450628571,16009900,9530253.899,9530253899
56,UnitedKingdom,YearOf2019,ProcessInput,PostConsumerWood,OtherEnergyFeedstocksPostConsumerWood,Mass,2390000000,5117773.019,5117773.019,5117773019
57,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodRoundwood,WoodPelletsManufacturingSoftwoodRoundwood,Mass,192319562.8,284259.2593,411819.1923,411819192.3
58,UnitedKingdom,YearOf2019,SoldProduction,Pallets,,Mass,1216898560,2374069.335,2605778.501,2605778501
59,UnitedKingdom,YearOf2019,Import,Pallets,,Mass,75486650.67,140046.4826,161641.6503,161641650.3
60,UnitedKingdom,YearOf2019,SoldProduction,OtherWoodContainers,,Mass,62752757.99,121848.2174,134374.2141,134374214.1
61,UnitedKingdom,YearOf2019,Import,OtherWoodContainers,,Mass,65236973.83,121030.7868,139693.7341,139693734.1
62,UnitedKingdom,YearOf2019,SoldProduction,Doors,,Mass,344209213,737064.6959,737064.6959,737064695.9
63,UnitedKingdom,YearOf2019,Import,Doors,,Mass,138706651,240583.2705,297016.3833,297016383.3
64,UnitedKingdom,YearOf2019,SoldProduction,FormworkScaffolding,,Mass,2094659,2094659,4485.351178,4485351.178
65,UnitedKingdom,YearOf2019,SoldProduction,Windows,,Mass,7721977.5,16535.28373,16535.28373,16535283.73
66,UnitedKingdom,YearOf2019,SoldProduction,Flooring,,Mass,238827001,511406.8544,511406.8544,511406854.4
67,UnitedKingdom,YearOf2019,SoldProduction,OtherObjects,,Mass,154927,1936.430728,331.7494647,331749.4647
68,UnitedKingdom,YearOf2019,SoldProduction,EndTerracedHouses,,Mass,1811934,1811934,3879.944325,3879944.325
69,UnitedKingdom,YearOf2019,SoldProduction,MidTerracedHouses,,Mass,3071860.2,3071860.2,6577.859101,6577859.101
70,UnitedKingdom,YearOf2019,SoldProduction,SemiDetachedHouses,,Mass,4898542.5,4898542.5,10489.38437,10489384.37
71,UnitedKingdom,YearOf2019,SoldProduction,DetachedHouses,,Mass,5764478.4,5764478.4,12343.63683,12343636.83
72,UnitedKingdom,YearOf2019,SoldProduction,Bungalows,,Mass,648925.2,648925.2,1389.561456,1389561.456
73,UnitedKingdom,YearOf2019,SoldProduction,ConvertedFlats,,Mass,1095588,1095588,2346.012848,2346012.848
74,UnitedKingdom,YearOf2019,SoldProduction,FlatLowRise,,Mass,1969951.5,1969951.5,4218.311563,4218311.563
,,,,,,Mass,,6310365.612,0,0
76,UnitedKingdom,YearOf2019,ProcessOutput,NewBuilds,HousesToNewBuilds,Mass,21604152.6,0,46261.56874,46261568.74
77,UnitedKingdom,YearOf2019,Import,FormworkScaffolding,,Mass,1785813,1785813,3824.010707,3824010.707
78,UnitedKingdom,YearOf2019,Import,Windows,,Mass,42893613,74397.91548,91849.27837,91849278.37
79,UnitedKingdom,YearOf2019,Import,Flooring,,Mass,62696676,122171.253,134254.1242,134254124.2
80,UnitedKingdom,YearOf2019,Import,OtherObjects,,Mass,216656340,432924.2848,463932.2056,463932205.6
81,UnitedKingdom,YearOf2019,SoldProduction,Decking,,Mass,280421513.9,600474.3338,600474.3338,600474333.8
82,UnitedKingdom,YearOf2019,SoldProduction,FencingPosts,,Mass,111822393.9,239448.3809,239448.3809,239448380.9
82,UnitedKingdom,YearOf2019,SoldProduction,FencingRailsAndBoards,,Mass,149556656.8,320249.8004,320249.8004,320249800.4
83,UnitedKingdom,YearOf2019,SoldProduction,WoodenOutbuildings,,Mass,361150343,773341.2056,773341.2056,773341205.6
,,,,,,,,,0,0
86,UnitedKingdom,YearOf2019,RecycledWoodFibreDelivery,,,Mass,984000,2874020.192,2107.066381,2107066.381
87,UnitedKingdom,YearOf2019,RecycledPaperDelivery,,,Mass,7427000000,27479900,15903640.26,15903640260
,,,,,,Mass,,,0,0
89,UnitedKingdom,YearOf2019,Import,WBPFibres,,Mass,0,0,0,0
90,UnitedKingdom,YearOf2019,Export,WoodPellets,,Mass,33000000,74250,70663.81156,70663811.56
91,UnitedKingdom,YearOf2019,Export,Pallets,,Mass,81950000,140046.4826,175481.7987,175481798.7
92,UnitedKingdom,YearOf2019,Export,OtherWoodContainers,,Mass,16756000,27921.95569,35880.08565,35880085.65
93,UnitedKingdom,YearOf2019,Export,RailwaySleepers,,Mass,1825282,3908.526767,3908.526767,3908526.767
94,UnitedKingdom,YearOf2019,Export,Doors,,Mass,11380656,19739.46758,24369.71306,24369713.06
95,UnitedKingdom,YearOf2019,Export,FormworkScaffolding,,Mass,537000,311285,1149.892934,1149892.934
96,UnitedKingdom,YearOf2019,Export,Windows,,Mass,2930000,4627.556017,6274.089936,6274089.936
97,UnitedKingdom,YearOf2019,Export,Flooring,,Mass,2505000,4881.280921,5364.025696,5364025.696
98,UnitedKingdom,YearOf2019,Export,OtherObjects,,Mass,62696000,21977.75161,134252.6767,134252676.7
,,,,,,,,,0,0
100,UnitedKingdom,YearOf2019,ProcessOutput,Flooring,,Mass,44861040,96062.18415,96062.18415,96062184.15
101,UnitedKingdom,YearOf2019,Import,RailwaySleepers,,Mass,82322230,176278.8651,176278.8651,176278865.1
,,,,,,,,,0,0
,,,,,,,,,0,0
104,UnitedKingdom,YearOf2019,Import,WoodenBedroomFurniture,,Mass,249408785,534065.9208,534065.9208,534065920.8
105,UnitedKingdom,YearOf2019,Export,WoodenBedroomFurniture,,Mass,15849916,18302.98501,33939.86296,33939862.96
106,UnitedKingdom,YearOf2019,SoldProduction,WoodenBedroomFurniture,,Mass,144378150,525573.5653,309160.9208,309160920.8
107,UnitedKingdom,YearOf2019,Import,WoodenKitchenFurniture,,Mass,45714002,97888.65525,97888.65525,97888655.25
108,UnitedKingdom,YearOf2019,Export,WoodenKitchenFurniture,,Mass,15849916,33939.86296,33939.86296,33939862.96
109,UnitedKingdom,YearOf2019,SoldProduction,WoodenKitchenFurniture,,Mass,939980560,3270810.3,2012806.338,2012806338
110,UnitedKingdom,YearOf2019,Import,WoodenOfficeFurniture,,Mass,46179741,98885.95503,98885.95503,98885955.03
111,UnitedKingdom,YearOf2019,Export,WoodenOfficeFurniture,,Mass,14064315,30116.30621,30116.30621,30116306.21
112,UnitedKingdom,YearOf2019,SoldProduction,WoodenOfficeFurniture,,Mass,132621750,397581.2634,283986.6167,283986616.7
113,UnitedKingdom,YearOf2019,Import,WoodenOtherFurniture,,Mass,661664652,1416840.797,1416840.797,1416840797
114,UnitedKingdom,YearOf2019,Export,WoodenOtherFurniture,,Mass,52686480,112819.015,112819.015,112819015
115,UnitedKingdom,YearOf2019,SoldProduction,WoodenOtherFurniture,,Mass,96812000,322673.743,207306.2099,207306209.9
116,UnitedKingdom,YearOf2019,Import,WoodenSeats,,Mass,203713824,436218.0385,436218.0385,436218038.5
117,UnitedKingdom,YearOf2019,Export,WoodenSeats,,Mass,42002851,89941.8651,89941.8651,89941865.1
118,UnitedKingdom,YearOf2019,SoldProduction,WoodenSeats,,Mass,106097400,7198.111349,227189.2934,227189293.4
119,UnitedKingdom,YearOf2019,SoldProduction,VeneerSheets,,Mass,0,0,0,0
120,UnitedKingdom,YearOf2019,SoldProduction,Plywood,,Mass,0,0,0,0
121,UnitedKingdom,YearOf2019,SoldProduction,ParticleboardToRMIAndOther,,Mass,274133370.9,587009.3595,587009.3595,587009359.5
122,UnitedKingdom,YearOf2019,ProcessInput,WoodenOfficeFurniture,WoodenOfficeFurnitureConsumption,Mass,972095986,2081575.987,2081575.987,2081575987
123,UnitedKingdom,YearOf2019,ProcessInput,OtherEnergyFeedstocksConsumption,OtherEnergyFeedstocksConsumption,Mass,3666612282,7851418.163,7851418.163,7851418163
124,UnitedKingdom,YearOf2019,SoldProduction,OtherEnergyFeedstocksWoodFibres,,Mass,3666612282,7851418.163,7851418.163,7851418163
125,UnitedKingdom,YearOf2019,ProcessInput,OtherEnergyFeedstocksWoodFibres,OtherEnergyFeedstocksProduction,Mass,3666612282,7851418.163,7851418.163,7851418163
126,UnitedKingdom,YearOf2019,ProcessInput,WoodenBedroomFurniture,WoodenBedroomFurnitureConsumption,Mass,377937019,809286.9786,809286.9786,809286978.6
127,UnitedKingdom,YearOf2019,ProcessInput,WoodenKitchenFurniture,WoodenKitchenFurnitureConsumption,Mass,969844646,2076755.131,2076755.131,2076755131
128,UnitedKingdom,YearOf2019,ProcessOutput,Pallets,PalletsManufacturing,Mass,1216898560,2605778.501,2605778.501,2605778501
129,UnitedKingdom,YearOf2019,ProcessInput,Pallets,PalletsConsumption,Mass,1216898560,2605778.501,2605778.501,2605778501
,,,,,,,,0,0,0
131,UnitedKingdom,YearOf2019,ProcessInput,Windows,WindowsConsumption,Mass,47685590.5,102110.4722,102110.4722,102110472.2
132,UnitedKingdom,YearOf2019,ProcessInput,Doors,DoorsConsumption,Mass,471535208,1009711.366,1009711.366,1009711366
133,UnitedKingdom,YearOf2019,ProcessOutput,Windows,WindowsConsumption,Mass,0,0,0,0
134,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibre,RecycledWoodFibreProcessingForPallets,Mass,916678540.6,1962909.081,1962909.081,1962909081
135,UnitedKingdom,YearOf2019,ProcessInput,RecycledWoodFibresToPallets,RefurbishedPalletsManufacturing,Mass,916678540.6,1962909.081,1962909.081,1962909081
136,UnitedKingdom,YearOf2019,ProcessInput,SoftwoodSawnwood,SawnwoodToRepairMaintenanceImprovement,Mass,1267000000,2713062.099,2713062.099,2713062099
137,UnitedKingdom,YearOf2019,Export,RefurbishedPallets,,Mass,0,0,0,0
,,,,,,,,1313195.72,,0
